user_id;item_id;rating
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0002005018;0.20828515
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0060543957;0.26731277
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0060914068;-0.022078656
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0060973129;-0.010183115
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0061000280;-0.19396587
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0061076031;-0.05729777
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0140430423;0.03490205
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0140621296;0.089943275
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0156047624;0.146878
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0245542957;0.10774633
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0312978383;-0.2151514
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0316769487;-0.4424419
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345372700;-0.22020766
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345402871;0.55682814
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345413903;-0.22096588
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345433173;-0.05722025
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345450248;0.342066
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0374157065;-0.18546622
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0375400117;-0.29430005
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380619458;-0.4021597
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380715899;-0.051493585
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380717018;-0.2132601
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380718332;0.33340186
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380754509;-0.39440465
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385235941;0.20406893
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385316895;-0.15108296
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385336772;0.41005805
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385497466;0.24415787
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385508042;0.18696508
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385509456;-0.14516833
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385511612;0.20991907
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385730586;-0.27501026
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0394562720;0.18583219
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0394563158;-0.46201935
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0399135782;0.4792276
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0399144587;-0.18118154
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0399151788;0.6173641
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0399234616;-0.11366353
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0425098559;0.1944773
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0425099148;-0.056599513
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0425164403;0.44212374
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0425182908;-0.28002778
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0439095026;-0.17841177
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0440222303;0.2331775
