user_id;item_id;rating
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0002005018;6
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0060914068;5
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN006250746X;4
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0316769487;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345402871;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0345450248;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0380754509;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385235941;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385336772;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385497466;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0385509456;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0394562720;0
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0399151788;0
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0425099148;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0440223571;4
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0440234964;4
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0451452755;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0505524996;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN051762639X;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0553280333;0
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0609804618;0
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN067976397X;5
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0684823802;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0743439740;3
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0800793013;0
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN0812575954;4
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN1558746218;4
0R2mm8YKwfdaB5Z7fNrosWYmZ952;ISBN1881320189;5
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0002005018;3
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0060543957;4
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0060914068;4
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0060973129;0
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0061000280;0
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0061076031;0
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0312978383;3
5MUQVYjDk9Th8bs1lUfvxeugNFr2;ISBN0316769487;0
